source,target
TP53,BCL2
AKT1,ZFP36L1
TRAF2,MAP3K5
STK4,LATS1
PIAS1,SMAD4
MAPK3,STK11
ZIC1,GLI3
EREG,ERBB3
AURKB,ATM
GSK3B,EIF4EBP1
PPP2CA,ICK
SLIT2,GPC1
BIRC5,CASP9
RARG,RXRB
JAK1,STAT3
FUS,PA2G4
GSK3B,HDAC4
STK3,NEK2
CDK1,LATS1
CHEK1,CLSPN
RARB,THRA
GSK3B,GYS1
PPP2R1A,SGOL1
AKT1,PDE3B
CDK9,SMAD3
PPM1A,SMAD3
CDK3,RB1
CHEK2,RASGRF1
AKT2,CDKN1A
RRAGD,RPTOR
AURKA,CDC25B
RAD1,TOPBP1
INSR,IRS4
JAK3,PLD2
CDK1,ZC3HC1
ABL1,ATR
EGFR,ERBB2
MARK2,HDAC7
SMAD6,SMAD3
MAP3K5,CDKN1A
GSK3B,DCX
TNK2,TNK2
SMARCAD1,HDAC1
LCK,ZAP70
ABL2,SIVA1
DAB2,LRP6
ATM,KHSRP
CDK1,FOXO1
MAPK7,PML
GSK3B,BORA
IL9,IL9R
CDK1,FANCG
STK11,BRSK2
PDGFRB,GRB2
ARHGEF25,RAC1
MTOR,DEPTOR
PML,ZFYVE9
ABL1,NCOA3
LCK,NOTCH1
PTPN14,BCAR1
BTC,EGFR
DYRK1A,GLI1
TESK1,CFL1
AKT1,AGAP2
PML,SMAD3
ERBB4,GRB2
CDK1,RRM2
EIF3I,TGFBR2
TP53BP2,PPP1R14A
KAT6A,TP53
PTPRJ,RET
JAK3,JAK1
CDK1,CASP9
EPHA2,EPHA2
EFNB1,EPHB4
MTOR,ULK2
ITCH,NOTCH1
CSNK2A1,CAV2
SIK1,CRTC2
EIF2AK2,CDK1
EGFR,ANXA1
NOTCH1,MYOD1
FGFR1OP,MAPRE1
NCBP1,IRF8
MTSS1,GLI1
TP53,BAK1
BMP10,ACVRL1
ANGPT4,TEK
AKT2,HSPB1
PI4K2A,CLSPN
ITCH,DTX1
GRB2,KIT
JAK2,STAT4
PTPN1,PTK2
SMARCAD1,TRIM28
ATM,NBN
MAPK14,MAX
NUMB,GLI1
ATM,EIF4EBP1
MTOR,STAT3
TUBB,SMAD3
MAP3K5,MAPK14
SH3RF1,RAC2
SRC,KCNJ1
MAPK3,HNRNPK
ATM,MRE11A
MAP3K5,MAP2K4
RARG,THRA
EFNA2,EPHA8
LTK,CBL
ZAP70,DBNL
CDK2,HIRA
GSK3B,NFATC2
PHLPP1,AKT2
CDK2,HMGA1
SHC1,GRAP
NR2F2,MYOD1
TGFA,EGFR
THBS2,CD47
FGF6,FGFR2
AKT1,FOXO6
KAT5,SRSF2
FAM175A,BRCA1
PDPK1,RPS6KB2
PTPN12,PTK2
ARRB1,KIF3A
PKN1,MARCKS
AURKB,CKAP2
FGF2,FGFR4
MTOR,RPS6KB2
SKIL,SMAD2
CDK2,RUNX1
ERBB3,SHC3
STK4,ABL1
MAPK3,CASP8
CDC7,MCM4
DVL1,APC
NCOA1,STAT5B
GRB2,ABL1
EGFR,NCK2
TTK,HSPA9
CHEK2,TTK
BTK,ITK
MAPK9,ATF2
MAPK3,EGFR
CDK1,MAPK6
CDK1,CDC25C
CDK11A,CDK11B
TRIM24,TP53
ATM,CCDC6
GNAQ,PLCB1
ATM,BLM
PRKCE,FGFR2
ATM,TP63
CSNK1D,LEF1
ANGPT1,TIE1
WNT3A,RYK
USP28,MYC
CASP9,CASP3
ATM,DCLRE1C
MTOR,AKT1
MAST3,PTEN
FOXA1,NFIB
INS,INSR
CBL,INSR
ATM,RFWD2
PIK3AP1,PIK3CB
RET,GRB7
CDK2,CDKN1B
ICK,ICK
MAPK3,SMAD4
PRKCD,MUC1
SERPINC1,LRP1
CAV1,LRP6
CCNE1,CDK2
EGFR,CALM3
WNT7A,FZD3
ATM,TDP1
GSK3B,GLI3
PCM1,PCNT
GSK3B,CCND1
DDR2,SHC1
RHEB,PLD1
HMGB1,HOXC6
ABL2,GPX1
MAML1,EP300
ERBB4,PIK3CD
MAML1,NOTCH3
LTK,IRS1
CDK1,LBR
ROCK1,PFN1
PRL,PRLR
PRKAA1,NOS3
CDK2,CEBPB
SMURF1,BMPR1A
RPS6KB1,ESR1
PLK1,VIM
UBE2A,PCNA
TP53,NFKB2
FGF1,FGFR1
PTPN6,LCK
MAPK1,FGFR1
SRC,DAG1
KAT5,MYOD1
DFFA,DFFB
STK11,MARK1
AURKB,INCENP
DACT1,DVL2
ABL2,ABL2
PALB2,RAD51
RET,RET
CDK1,SIRT2
SMAD3,RUNX2
NONO,TOP1
XIAP,CASP3
CDK4,MYOD1
TOPORS,TP53
GRB2,SOS2
AKT2,BAD
GSK3B,GLI2
AKT1,BAD
PLK1,FBXO5
MAPK1,SOS1
COL1A1,DDR1
